"Date","Price","Open","High","Low","Vol.","Change %"
"11/02/2022","9,860","9,855","9,860","9,795","873.99K","-2.57%"
"11/01/2022","10,120","10,115","10,130","10,050","371.58K","-0.34%"
"10/31/2022","10,155","10,120","10,155","10,090","767.96K","4.26%"
"10/28/2022","9,740","9,990","10,160","9,695","2.08M","-5.16%"
"10/27/2022","10,270","10,325","10,325","10,200","826.91K","-1.25%"
"10/26/2022","10,400","10,640","10,640","10,390","0.20K","-2.12%"
"10/25/2022","10,625","10,645","10,675","10,590","289.58K","0.47%"
"10/24/2022","10,575","10,515","10,590","10,515","1.57K","3.83%"
"10/21/2022","10,185","10,180","10,220","10,120","210.96K","-0.24%"
"10/20/2022","10,210","10,290","10,290","10,160","325.90K","-1.64%"
"10/19/2022","10,380","10,430","10,445","10,350","0.01K","-0.38%"
"10/18/2022","10,420","10,300","10,435","10,295","684.42K","4.41%"
"10/17/2022","9,980","10,000","10,000","9,915","626.25K","-2.68%"
"10/16/2022","10,255","10,255","10,255","10,255","","0.00%"
"10/14/2022","10,255","10,150","10,255","10,130","404.04K","2.96%"
"10/13/2022","9,960","10,010","10,010","9,925","303.84K","-0.55%"
"10/12/2022","10,015","10,070","10,090","9,960","601.22K","-0.84%"
"10/11/2022","10,100","10,150","10,150","10,070","474.14K","-3.26%"
"10/07/2022","10,440","10,500","10,505","10,430","361.48K","-0.95%"
"10/06/2022","10,540","10,590","10,650","10,525","0.03K","0.05%"
"10/05/2022","10,535","10,630","10,635","10,535","411.75K","0.19%"
"10/04/2022","10,515","10,610","10,610","10,485","519.22K","0.29%"
"09/30/2022","10,485","10,490","10,495","10,390","1.10M","-2.19%"
"09/29/2022","10,720","10,715","10,820","10,715","370.59K","1.32%"
"09/28/2022","10,580","10,595","10,640","10,500","712.77K","-1.08%"
"09/27/2022","10,695","10,615","10,695","10,615","392.93K","1.57%"
"09/26/2022","10,530","10,535","10,600","10,510","651.57K","-1.50%"
"09/23/2022","10,690","10,680","10,700","10,610","525.57K","-0.28%"
"09/22/2022","10,720","10,660","10,790","10,580","894.45K","-1.47%"
"09/21/2022","10,880","10,925","10,925","10,810","471.21K","-0.46%"
"09/20/2022","10,930","10,930","10,950","10,885","381.59K","1.67%"
"09/19/2022","10,750","10,780","10,790","10,705","462.40K","-0.28%"
"09/18/2022","10,780","10,780","10,780","10,780","","0.00%"
"09/16/2022","10,780","10,875","10,875","10,750","836.28K","-3.14%"
"09/15/2022","11,130","11,130","11,165","11,105","452.25K","0.63%"
"09/14/2022","11,060","11,000","11,060","11,000","1.14M","-4.82%"
"09/13/2022","11,620","11,545","11,625","11,545","1.02M","3.43%"
"09/08/2022","11,235","11,135","11,235","11,135","379.57K","2.28%"
"09/07/2022","10,985","10,925","11,000","10,900","465.43K","-0.90%"
"09/06/2022","11,085","10,995","11,085","10,970","314.37K","0.77%"
"09/05/2022","11,000","10,910","11,005","10,905","432.09K","-0.54%"
"09/04/2022","11,060","11,060","11,060","11,060","","0.00%"
"09/02/2022","11,060","11,020","11,060","10,985","466.18K","2.08%"
